actor_1,actor_2,country,date_aired,episodes,genre,network,rating,reviews,tag,title,users,watchers
Yoon Shi Yoon,Oh Jae Moo,South Korea,"Jun  9, 2010 - Sep 16, 2010",30,"Food,  Romance,  Drama,  Family,  Melodrama",KBS2,8.1,30,"Sibling Rivalry, Mother-Son Relationship, Evil Stepmother, Family Secret, Baking, Youth, Secondary Couple, Time Skip, Smart Female Lead, Birth Secret","King of Baking, Kim Tak Goo",7596,15084
Dean Fujioka,Kubota Yuki,Japan,"Apr 19, 2018 - Jun 14, 2018",9,"Suspense,  Psychological,  Drama,  Melodrama",Fuji TV,8.4,4,"Hidden Identity, Revenge, Adapted From A Novel, Wrongfully Accused, Prison Escape, Murder, Corruption, Torture, Death, Injustice",The Count of Monte-Cristo: Great Revenge,236,918
Joseph Chang,Tiffany Hsu,Taiwan,"Apr 30, 2020",8,"Suspense,  Thriller,  Mystery,  Crime","Netflix, Netflix, Netflix, Netflix",8.3,6,"Socially Outcast, Autism, Journalist, Detective, Forensic, Disability, Murder, Asperger’s Syndrome, Reporter, Miniseries",The Victims' Game,356,921
Yaya Urassaya Sperbund,Nadech Kugimiya,Thailand,"May 14, 2018 - Jun 19, 2018",12,"Action,  Military,  Romance,  Drama",Channel 3,8.2,14,"Bodyguard, Princess, Switzerland, Tough Female Lead, Badass Male Lead, Noble Woman/Common Man, Badass Female Lead, Sibling Rivalry, Hate To Love, Calm Male Lead",The Crown Princess,1314,3441
Puff Kuo,Jasper Liu,Taiwan,"May 31, 2019 - Aug 23, 2019",13,"Romance,  Drama,  Mature","CTV, CTV",8.2,42,"Male Chases Female First, Steamy Kiss, Obsessive Male Lead, Obsession, Infidelity, Obsessive Second Lead, Arrogant Male Lead, Rich Male Lead, Adapted From A Novel, Betrayal",Before We Get Married,3366,6912
Ahn Nae Sang,Yoon Yoo Sun,South Korea,"Sep 19, 2011 - Mar 29, 2012",123,"Comedy,  Romance,  Family,  Sitcom",MBC,8.2,5,"Multiple Mains, Multiple Couples, Unrequited Love, Neighbors",High Kick! The Revenge of the Short Legged,1504,4534
Karasawa Toshiaki,Eguchi Yosuke,Japan,"Oct  9, 2003 - Mar 18, 2004",21,"Business,  Law,  Drama,  Medical,  Political",Fuji TV,8.7,3,"Yamazaki Toyoko, Adapted From A Novel, Power Struggle, Hospital, Infidelity, Corruption",The Great White Tower,86,398
Ohno Satoshi,Toda Erika,Japan,"Apr 16, 2012 - Jun 25, 2012",11,"Suspense,  Mystery,  Detective,  Investigation",Fuji TV,8.2,10,"V6, Nikkan Daily Sports Drama GP, Locksmith, Locked Room Mystery, Signature Move, Arashi, Lawyer, Episodic Format, Death, Eccentric Male Lead",Kagi no Kakatta Heya,1799,3768
Cecilia Liu,William Chan,China,"Jul 13, 2017 - Sep 29, 2017",56,"Historical,  Romance,  Fantasy",Dragon TV,8.2,19,"Strong Female Lead, Time Travel, Magicians, Fantasy World, Prince, Time Manipulation, Love Triangle, Calm Female Lead, Adapted From A Novel",Lost Love in Times,1729,5386
Tamayama Tetsuji,Fox Charlotte Kate,Japan,"Sep 29, 2014 - Mar 28, 2015",150,"Historical,  Business,  Romance,  Life",NHK,8.5,1,"Interracial Couple, Interracial, Morning Drama, Asadora, Based On True Story",Massan,150,809
Park Se Wan,Jang Dong Yoon,South Korea,"Dec  3, 2018 - Dec 25, 2018",16,"Friendship,  Romance,  Life,  School,  Youth,  Drama,  Sports",KBS2,8.2,10,"Coming Of Age, Sismance, High School, Dance, Dance Competition, Misunderstanding, Overcoming Prejudice, Overcoming Struggles, Youth Romance, Single Mother",Just Dance,998,3246
Chen Ruo Xuan,Wang Long Zheng,China,"May  8, 2015 - Nov 30, 2015",24,"Thriller,  Mystery,  Psychological,  Crime,  Drama,  Detective,  Investigation","iQiyi, iQiyi",8.3,7,"Slight Horror, Implied Rape - Talked About, Criminal Psychologist, Flashback To Past, Slight Comedy, PTSD, Slight Romance, Criminal Profiler, Web Series, Tragic Past",Evil Minds,336,2158
Bi Wen Jun,Sun Qian,China,"Dec 25, 2019 - Jan 15, 2020",24,"Romance,  Youth,  Drama,  Martial Arts,  Sports",Youku,8.2,11,"Strong Female Lead, Martial Arts, Multiple Couples, Grandpa-Granddaughter Relationship, Competition, Web Series, Adapted From A Novel, Tournament, Slow Burn Romance, Love–Hate Relationship",Sweet Tai Chi,866,2538
Yoo Seung Ho,Jo Bo Ah,South Korea,"Dec 10, 2018 - Feb  4, 2019",32,"Friendship,  Mystery,  Comedy,  Romance,  School,  Drama",SBS,8.2,23,"Corruption, Student/Teacher Relationship, Second Chance Romance, Evil Parental Figure, Wrongfully Accused, Student, Nice Male Lead, Revenge, High School, School Problems",My Strange Hero,6367,15977
Cha Seung Won,Gong Hyo Jin,South Korea,"May  4, 2011 - Jun 23, 2011",16,"Business,  Comedy,  Romance",MBC,8.2,63,"Male Chases Female First, Actor, Show Business, Love Triangle, Actress, Impulsive Male Lead, Hate To Love, Eccentric Male Lead, Obsession, Hardworking Female Lead",The Greatest Love,12395,22705
Go Ah Ra,Jung Woo,South Korea,"Oct 18, 2013 - Dec 28, 2013",21,"Friendship,  Comedy,  Romance,  Life,  Youth,  Drama,  Family,  Sports",tvN,8.2,50,"College Life, Love Triangle, Childhood Friends, 1990s, Multiple Couples, Best Friends, Family Relationship, Student, Sismance, Unrequited Love",Reply 1994,10190,24515
Ryan Zhu,Angelina Jiang,China,"Dec  6, 2017 - Jan  9, 2018",20,"Suspense,  Mystery,  Sci-Fi",Sohu TV,8.3,3,"Death Game, Smart Male Lead, Parallel Universe, Multiple Mains, Adapted From A Manhua",Die Now,341,1222
White Nawat Phumphothingam,Captain Chonlathorn Kongyingyong﻿,Thailand,"Jul  6, 2014 - Sep 21, 2014",12,"Friendship,  Romance,  School,  Youth,  Drama",Channel 9,8.2,40,"Gay Relationship, Gay Character, Adapted From A Novel, Pretend Relationship, Confused Male Lead, LGBTQ+, High School, Acceptance",Love Sick,5519,10924
Wallace Huo,Zanilia Zhao,China,"Jun  9, 2015 - Sep  7, 2015",50,"Historical,  Romance,  Wuxia,  Martial Arts,  Fantasy",Hunan TV,8.2,34,"Female Warrior, Unrequited Love, Student/Teacher Relationship, Xianxia, Reverse-Harem, Older Man/Younger Woman, Age Gap, Star Crossed Lovers, Master-Student Relationship, Tearjerker",The Journey of Flower,2238,6116
Park Hee Bon,Kim Da Som,South Korea,"Aug 13, 2012 - Feb  6, 2013",120,"Friendship,  Comedy,  Romance,  School,  Family,  Sitcom",KBS2,8.3,1,"Airhead Female Lead, Smart Female Lead, Brother And Sister, Neighbors, Cold Female, Mother-Daughter Relationship, Male Chases Female First, Huge Family, Sibling, Strong Female Lead",Family,347,1576
Yang Rong,Johnny Bai,China,"Oct 24, 2016 - Nov  8, 2016",12,"Action,  Suspense,  Friendship,  Mystery,  Romance,  Crime,  Detective,  Investigation","iQiyi, iQiyi",8.2,11,"Adapted From A Novel, Forensic Pathologist, Criminal Psychologist, Cold Male Lead, Independent Female Lead, Secret, Smart Female Lead, Forensics, Smart Male Lead, Rape",Memory Lost,1545,5600
Jung Yong Hwa,Lee Yun Hee,South Korea,"Oct 13, 2017 - Nov 18, 2017",12,"Adventure,  Friendship,  Mystery,  Comedy,  Romance,  Life,  Drama",jTBC,8.2,27,"Tour Guide, Filmed Abroad, France, Multiple Couples, Steamy Kiss, Hurt & Comfort, Secret Relationship, Eccentric Character, Vacation, Misunderstanding",The Package,3610,9614
Hyun Bin,Park Shin Hye,South Korea,"Dec  1, 2018 - Jan 20, 2019",16,"Action,  Thriller,  Comedy,  Romance,  Sci-Fi","tvN, Netflix, Netflix, Netflix, Netflix",8.2,86,"Virtual Game, Filmed Abroad, Augmented Reality, Death, Video Game Elements, Game, Real World/gamming World, Real World/virtual World, Hardworking Female Lead, Murder",Memories of the Alhambra,13803,27656
Vill Wannarot Sonthichai,Push Puttichai Kasetsin,Thailand,"Apr  7, 2014 - Jul  8, 2014",28,"Comedy,  Romance,  Fantasy",Channel 5,8.2,6,"Transformation, Rich Female Lead, Spoiled Female Lead, Airhead Female Lead, Rich Male Lead, Angel, Orphan Female Lead, Curse, Personal Growth, Nice Male Lead",Leh Nangfah,897,2164
Ichihara Hayato,Hayashi Kento,Japan,"Jan 12, 2013 - Mar 23, 2013",11,"Suspense,  Psychological,  Crime,  Detective",Fuji TV,8.2,7,"Controlling Parent, Playboy Male Lead, Child Abandonment, Corruption, Sibling, Family Secret, Murder, Adapted From A Novel",Karamazov no Kyodai,663,2166
Kang Ji Hwan,Kim Ok Bin,South Korea,"Mar  3, 2018 - Apr 22, 2018",16,"Suspense,  Mystery,  Supernatural,  Detective,  Investigation",OCN,8.2,7,"Smart Male Lead, Murder, Cult, Dissociative Amnesia, Painful Past, Future Seeing Female Lead, Shamanism, Funny Character, Police Officer, Church",Children of a Lesser God,872,3579
Marcus Chang,Ivy Shao,Taiwan,"Jan 22, 2016 - Jun 24, 2016",21,"Romance,  Life,  Drama,  Sci-Fi,  Family",SET TV,8.2,11,"Time Travel, Secondary Couple, Mother-Son Relationship",Back to 1989,1126,3088
William Chan,LAY,China,"Jul  4, 2016 - Oct 17, 2016",48,"Action,  Suspense,  Adventure,  Friendship,  Historical,  Romance,  Supernatural","iQiyi, iQiyi",8.2,18,"Tomb Raiding, Bromance, Chinese Republican Era, Military, Strong Male Lead, Clingy Female Lead, Female Chases Male First, Train, Strong Female Lead, Political",The Mystic Nine,1129,4172
Takenouchi Yutaka,Bakarhythm,Japan,"Oct 14, 2014 - Dec 16, 2014",10,"Comedy,  Life,  Fantasy",Fuji TV,8.3,4,"Episodic Format, Time Travel",Sutekina Sen Taxi,490,1192
Zhu Yi Long,Chen Ming Hao,China,"Jul 15, 2020 - Aug 13, 2020",32,"Action,  Suspense,  Adventure,  Mystery,  Fantasy,  Supernatural",Youku,8.8,3,"Tomb Raiding, Bromance, Treasure Hunting, Smart Male Lead, Illness, Adapted From A Novel, Kennedy Xu, Slight Comedy, Survival, Web Series",Reunion: The Sound of the Providence,142,1361
Kim Hee Sun,Lee Min Ho,South Korea,"Aug 13, 2012 - Oct 30, 2012",24,"Action,  Historical,  Romance,  Drama,  Medical,  Fantasy",SBS,8.2,88,"Time Travel, Older Woman/Younger Man, Goryeo Dynasty, Bodyguard, Doctor, Elemental Power, Fate, Swordsman, Passionate Love, Historical Fiction",Faith,16753,32670
Lee Dong Wook,Jo Seung Woo,South Korea,"Jul 23, 2018 - Sep 11, 2018",16,"Suspense,  Psychological,  Drama,  Medical","jTBC, Netflix, Netflix, Netflix, Netflix",8.2,12,"Power Struggle, Doctor, Hospital, Sibling, Nice Male Lead, Calm Male Lead, Disabled Character, Character Development, Mental Health, Bromance",Life,2403,8239
Karasawa Toshiaki,Eguchi Yosuke,Japan,"Apr 27, 2014 - Jun 22, 2014",9,"Business,  Sports",TBS,8.5,3,"Ikeido Jun, Adapted From A Novel",Roosevelt Game,150,548
Oguri Shun,Ishihara Satomi,Japan,"Jul  9, 2012 - Sep 17, 2012",11,"Friendship,  Business,  Comedy,  Romance,  Melodrama",Fuji TV,8.2,66,"Eccentric Male Lead, Prodigy, Bromance, Prosopagnosia, Rich Man/Poor Woman, Entrepreneur, Smart Male Lead, Long Distance Relationship, Lovers Separated, Smart Female Lead","Rich Man, Poor Woman",11245,20614
Lee Seung Gi,Shin Min Ah,South Korea,"Aug 11, 2010 - Sep 30, 2010",16,"Comedy,  Romance,  Drama,  Fantasy,  Supernatural",SBS,8.2,78,"Female Chases Male First, Gumiho, Mythical Being, Star Crossed Lovers, Interspecies Romance, Noble Sacrifice, Obsession, Orphan, Obsessive Second Lead, Nine-tailed Fox",My Girlfriend is a Gumiho,23179,41501
Zanilia Zhao,Chen Xiao,China,"May  5, 2013 - May 29, 2013",59,"Historical,  Romance,  Drama",Hunan TV,8.2,21,"Palace Politics, Competent Protagonist, Smart Female Lead, Power Struggle, Strong Friendship, Strong Female Lead, Rags To Riches, Competition",Legend of Lu Zhen,1272,3513
Jeon Do Yeon,Yoo Ji Tae,South Korea,"Jul  8, 2016 - Aug 27, 2016",16,"Law,  Romance,  Life,  Drama,  Family,  Political",tvN,8.2,11,"Smart Female Lead, Lawyer, Strong Female Lead, Western Series Remake, Working Mom, Law Firm, Manipulative Character, Bisexual Character, Prosecutor, LGBTQ+",The Good Wife,1498,4793
Ono Machiko,Kobayashi Kaoru,Japan,"Oct  3, 2011 - Mar 31, 2012",151,"Historical,  Business,  Life,  Family",NHK,8.6,1,"Morning Drama, Asadora, Fashion",Carnation,132,484
Ji Chang Wook,Im Yoon Ah,South Korea,"Sep 23, 2016 - Nov 12, 2016",16,"Action,  Thriller,  Psychological,  Romance,  Drama",tvN,8.2,91,"Bodyguard, Badass Male Lead, Power Struggle, Trauma, Evil Stepmother, Professional Killer, Tragic Past, Tough Male Lead, Aggressive Male Lead, Revenge",The K2,20685,39703
Park Soo Ae,Joo Ji Hoon,South Korea,"May 27, 2015 - Jul 30, 2015",20,"Suspense,  Psychological,  Romance,  Drama,  Melodrama",SBS,8.2,45,"Identity Swap, Hidden Identity, Hate To Love, Heir, Aquaphobia, Marriage Of Convenience, Contract Relationship, Trauma, Slow Burn Romance, Strong Female Lead",Mask,8852,17889
Esther Yu,Liu Yi Chang,China,"Feb 14, 2020",24,"Adventure,  Friendship,  Historical,  Comedy,  Romance,  Crime","iQiyi, iQiyi",8.2,25,"Childhood Acquaintance, First Love, Love Triangle, Investigation, Cherry Blossom, Multiple Couples, Forensics, Obsession, Father-Son Relationship, Web Series",I've Fallen For You,1128,2965
Jung Hae In,Chae Soo Bin,South Korea,"Mar 23, 2020 - Apr 28, 2020",12,"Romance,  Life,  Drama,  Melodrama",tvN,8.2,63,"Healing, Slow Burn Story, Nice Female Lead, Character Development, Tragic Past, Emotional Scars, Successful Male Lead, Slice Of Life, Music, Sound Engineer",A Piece of Your Mind,3450,10290
Ariel Lin,Chen Bo Lin,Taiwan,"Sep 18, 2011 - Dec 11, 2011",13,"Friendship,  Romance,  Family",FTV,8.2,49,"Friends To Lovers, Childhood Friends, Sweet Male Lead, Nice Male Lead, Unrequited Love, Ex-Boyfriend Comes Back, Best Friends, Lovers Separated, Aging, Misunderstanding",In Time With You,4044,9823
Sakaguchi Kenji,Koike Teppei,Japan,"Oct 11, 2007 - Dec 20, 2007",11,"Drama,  Medical",Fuji TV,8.3,1,Adapted From A Manga,Iryu Team Medical Dragon 2,542,977
Oguri Shun,Aoki Munetaka,Japan,"Apr 10, 2014 - Jun  5, 2014",9,"Thriller,  Mystery,  Psychological,  Crime,  Supernatural",TV Asahi,8.2,7,"Ghost-seeing Male Lead, Calm Male Lead, Ghost, Investigation, Detective",BORDER,2012,4654
Leo Wu,Qin Hao,China,"Jul 20, 2018 - Sep 15, 2018",52,"Action,  Suspense,  Adventure,  Mystery,  Supernatural",Tencent Video,8.3,9,"Tomb Raiding, Adapted From A Novel, Mongolia, Slight Comedy, Tibet, Slight Romance, Strong Male Lead, Smart Male Lead, Survival, Bromance",Tomb of the Sea,423,1816
Ryu Deok Hwan,Yoon Joo Hee,South Korea,"May 18, 2014 - Aug  3, 2014",12,"Mystery,  Drama,  Medical,  Investigation",OCN,8.2,2,"Attempted Assault, Attempted Murder, Competent Protagonist, Secret, Attempted Suicide, Stalking, Slight Romance, Smart Female Lead, Police Officer, Calm Female Lead",God's Quiz Season 4,1078,2661
Uee,Joo Won,South Korea,"Aug  6, 2011 - Feb 19, 2012",58,"Comedy,  Romance,  Drama,  Family",KBS2,8.2,12,"Brothers, Huge Family, Sibling, Police Officer, Single Parent, Contract Relationship, Age Gap, Older Woman/Younger Man",Ojakgyo Brothers,3078,7265
Pan Yue Ming,Wang Long Zheng,China,"Aug 30, 2017 - Oct 11, 2017",32,"Suspense,  Mystery,  Crime,  Detective,  Investigation",Youku,8.5,4,"Nyctophobia, Wrongfully Accused, Dark Plot, Police Officer, Death, Brothers, Phobia, Identity Swap, Twins, Murder",Day and Night,162,634
Raymond Lam,Ha Yu,Hong Kong,"Jul 28, 2008 - Sep 21, 2008",40,"Business,  Romance,  Drama,  Family",TVB Jade ,8.3,2,,Moonlight Resonance,620,1151
Janice Wu,Z. Tao,China,"Mar 25, 2019 - May  6, 2019",44,"Music,  Comedy,  Romance,  Youth","Tencent Video, iQiyi, Youku, iQiyi",8.2,26,"Idol Actor, Entertainment Industry, Love–Hate Relationship, Boss/Employee Relationship, Famous Lead/Common Lead, Strong Female Lead, Male Chases Female First, First Love, Singer-Songwriter, Heir",The Brightest Star in the Sky,2809,6835
Landy Li,Steven Zhang,China,"Nov  8, 2017 - Jan  5, 2018",30,"Friendship,  Romance,  Life,  School,  Youth","iQiyi, iQiyi",8.3,13,"Death Of A Parent, Meet Again, Smart Female Lead, Calm Female Lead, Slice Of Life, High School, Male Chases Female First, Tragic Past, Multiple Couples, Nice Male Lead",My Huckleberry Friends,566,2521
Moon Geun Young,Kim Seon Ho,South Korea,"Oct 21, 2019 - Dec 10, 2019",16,"Comedy,  Romance,  Drama,  Melodrama,  Investigation",tvN,8.2,20,"Impulsive Female Lead, Subway Station, Team Work, Police, Nice Male Lead, Serial Killer, Strong Female Lead, Strong Male Lead, Smart Female Lead, Character Development",Catch the Ghost,2930,7873
Nana,Jang Ki Yong,South Korea,"Mar 23, 2019 - Apr 28, 2019",12,"Action,  Thriller,  Mystery,  Crime,  Drama",OCN,8.2,42,"Orphan, Badass Male Lead, Hidden Past, Strong Male Lead, Strong Female Lead, Murder, Serial Killer, Hidden Identity, Minimal Romance, Calm Male Lead",Kill It,5361,13575
Watanabe Anne,Higashide Masahiro,Japan,"Sep 30, 2013 - Mar 29, 2014",150,"Food,  Historical,  Life,  Family",NHK,8.5,2,"Western Food, Meiji Period, Taisho Period, Showa Era, Married Couple, Morning Drama, Asadora",Gochisousan,176,768
Jung Ryeo Won,Yoon Hyun Min,South Korea,"Oct  9, 2017 - Nov 28, 2017",16,"Law,  Drama,  Mature,  Investigation",KBS2,8.2,16,"Independent Female Lead, Prosecutor, Strong Female Lead, Sexual Assault, Selfish Character, Hardworking Female Lead, Calm Male Lead, Personal Growth, Tragic Past",Witch's Court,4290,9666
Lee Na Eun,Kim Dong Hee,South Korea,"Apr 21, 2019 - Jun 27, 2019",20,"Friendship,  Comedy,  Romance,  School,  Youth,  Drama","Naver TV Cast, vLive",8.2,7,"Multiple Mains, High School, Web Series, Student, Multiple Couples, Idol Actor",A-Teen 2,2252,4526
Hwang Jung Eum,Park Seo Joon,South Korea,"Sep 16, 2015 - Nov 11, 2015",16,"Comedy,  Romance,  Drama",MBC,8.2,82,"Office Romance, Love Triangle, Eccentric Character, Makeover, Second Lead Syndrome, Hardworking Female Lead, Secret, Workplace, Sismance, Hidden Identity",She Was Pretty,29870,51024
Aragaki Yui,Ayano Go,Japan,"Apr 14, 2013 - Jun 23, 2013",11,"Military,  Romance,  Life,  Drama",TBS,8.2,6,"Workplace, Slow Romance, Arikawa Hiro, Healing, Personal Growth, Adapted From A Novel, Journalist, Strong Male Lead, Dream, Strong Female Lead",Soratobu Kouhoushitsu,978,2730
Kim Jae Won,Nam Goong Min,South Korea,"Apr  2, 2011 - Jul 10, 2011",30,"Friendship,  Business,  Comedy,  Romance,  Drama,  Family,  Melodrama",MBC,8.2,37,"Deafness, Disability, Hidden Identity, Love Triangle, Trauma, Tearjerker, Bromance, Revenge, Tragic Past",Can You Hear My Heart,6346,14162
Kitano Kie,Fukuda Saki,Japan,"Jun 30, 2007 - Sep 15, 2007",11,"Friendship,  Psychological,  Life,  School,  Drama,  Mature",Fuji TV,8.2,17,"Psychopath, High School, Sismance, School Bullying, Adapted From A Manga, Sexual Assault",LIFE,3675,6994
Victoria Song,Song Wei Long,China,"Jan 26, 2020 - Feb 18, 2020",41,"Friendship,  Business,  Romance,  Life,  Drama,  Melodrama","Hunan TV, Netflix, Mango TV, Netflix, Netflix, Netflix, Mango TV",8.2,42,"Older Woman/Younger Man, Age Gap, Office Romance, Slice Of Life, Multiple Couples, Boss/Employee Relationship, Jealousy, Twins, Brother And Sister, Steamy Kiss",Find Yourself,2615,6786
Kim Se Jeong,Kim Jung Hyun,South Korea,"Jul 17, 2017 - Sep  5, 2017",16,"Mystery,  Comedy,  Romance,  School,  Youth",KBS2,8.2,30,"High School, School Problems, Friendship, School Bullying, Bromance, Student, Character Development, Childhood Friends, First Love, Competition",School 2017,13167,25449
Kim Hyung Suk,Jung Shin Hye,South Korea,"Sep 20, 2018 - Oct 25, 2018",12,"Friendship,  Comedy,  Romance,  School,  Drama","Naver TV Cast, vLive",8.2,4,"Second Chance Romance, Heartbreak, Multiple Mains, Miniseries, Male Chases Female First, Web Series, Second Lead Syndrome, College Life, Unrequited Love, School Club",Love Playlist: Season 3,1004,2012
Jang Hyuk,Choi Soo Young,South Korea,"Feb  1, 2020 - Mar 22, 2020",16,"Suspense,  Thriller,  Mystery,  Crime,  Detective,  Investigation",OCN,8.2,23,"Serial Killer, Murder, Photographic Memory, Smart Male Lead, Criminal Profiler, Strong Female Lead, Trauma, Tragic Past, Disability, Revenge",Tell Me What You Saw,2396,6102
Moon Chae Won,Song Joong Ki,South Korea,"Sep 12, 2012 - Nov 15, 2012",20,"Romance,  Drama,  Family,  Melodrama",KBS2,8.2,98,"Strong Female Lead, Character Development, Rich Woman/Poor Man, Makjang, Revenge, Deception, Heiress, First Love, Seaside, Good Man/bad Woman",The Innocent Man,17537,32824
Yoon Shi Yoon,Lee Se Young,South Korea,"Jun  2, 2017 - Jul 22, 2017",32,"Friendship,  Comedy,  Romance,  Life,  Youth,  Drama,  Family",KBS2,8.2,39,"Time Travel, Funny Male Lead, Fluffy, Hidden Identity, Eccentric Male Lead, Love–Hate Relationship, Flashback To Past, Hardworking Female Lead, Love Triangle, Entertainment Industry",Hit the Top,8880,20837
Song Seung Heon,Go Ah Ra,South Korea,"Oct 14, 2017 - Dec 10, 2017",18,"Action,  Thriller,  Comedy,  Romance,  Supernatural",OCN,8.2,69,"Grim Reaper, Cold Man, Female Chases Male First, Strong Male Lead, Ghost-seeing Female Lead, Double Identity, Ghost, Interspecies Romance, Murder, Childhood Friends",Black,10917,23941
Ong Seong Wu,Kim Hyang Gi ,South Korea,"Jul 22, 2019 - Sep 10, 2019",16,"Friendship,  Romance,  Life,  School,  Youth,  Drama,  Family","jTBC, Viki",8.2,32,"High School, Controlling Parent, Youth Romance, First Love, Shy Male Lead, High School Romance, Love Triangle, Lying, Strong Friendship, Strong Female Lead",Moment at Eighteen,4545,11916
Barbie Hsu,Vic Chou,Taiwan,"Apr  7, 2004 - Aug 18, 2004",21,"Action,  Suspense,  Psychological,  Romance,  School,  Drama,  Sports",GTV,8.2,58,"Sexual Assault, Trauma, Mental Health, Tragic Past, Suicide, University, Adapted From A Manga, Tragic Love Story, Art, Psychopath",MARS,4585,9344
Li Qin,Qin Hao,China,"Jul  1, 2020 - Aug 12, 2020",53,"Action,  Historical,  Romance,  Drama,  Martial Arts,  Political",Tencent Video,8.4,10,"Strong Female Lead, Marriage, Revenge, Corruption, Northern And Southern Dynasties, Just Female Lead, Chivalrous Woman, Kind-hearted Female Lead, Political Reform, Evil Character",The Song of Glory,292,2035
Yamada Ryosuke,Kawaguchi Haruna,Japan,"Jul 19, 2014 - Sep 20, 2014",9,"Suspense,  Mystery,  Comedy,  School,  Detective",NTV,8.2,3,"NEWS(Band), Hey! Say! Jump, Nice Male Lead, Filmed Abroad, Adapted From A Manga, Idol Actor",Kindaichi Shonen no Jikenbo N,953,2278
Kim  Joo Hyuk,Chun Woo Hee,South Korea,"Sep  4, 2017 - Sep 26, 2017",8,"Drama,  Political,  Investigation",tvN,8.2,7,"Boss/Employee Relationship, Journalism, Corruption, News Anchor, Strict Character, Hardworking Lead, Struggle, News Media, Reporter",Argon,944,2655
Fujiwara Tatsuya,Okada Masaki,Japan,"Jul 16, 2014 - Sep 17, 2014",10,"Mystery,  Detective,  Investigation",NTV,8.3,4,"Konno Bin, Adapted From A Novel, Phobia",ST Aka to Shiro no Sousa File,676,1588
Jung Eun Ji,Lee Won Keun,South Korea,"Oct  5, 2015 - Nov 10, 2015",12,"Romance,  School,  Youth,  Drama",KBS2,8.2,67,"Smart Male Lead, Child Abuse, Bromance, Self-harm, Enemies To Lovers, Step-siblings Love, Cheerleading, Rich Man/Poor Woman, Love Triangle, School Rivalry",Sassy Go Go,18819,33394
Ray Ma,Regina Wan,China,"Mar 27, 2018 - May 24, 2018",54,"Historical,  Drama,  Political",,8.3,10,"Adapted From A Novel, Twin Exchange, Emperor Xiang, Identical Twins, Royalty, Three Kingdoms, Smart Male Lead, Sibling, Stolen Identity, Strong Female Lead",Secret of Three Kingdoms,671,2759
Jung Il Woo,Kim Hye Sung,South Korea,"Nov  6, 2006 - Jul  7, 2007",167,"Comedy,  Family,  Sitcom",MBC,8.3,2,"Open Ending, Slight Romance, Multiple Mains, Older Woman/Younger Man, Divorce, Sismance, Murder, Multiple Couples, Unrequited Love, Bromance",Unstoppable High Kick,1007,3115
Zhou Xun,Wallace Huo,China,"Aug 20, 2018 - Oct 15, 2018",87,"Historical,  Romance,  Drama,  Melodrama",Tencent Video,8.3,14,"Harem, Death Of Empress, Death Of King, Royal Rules And Etiquette, Evil Character, Multiple Marriages, Hatred, Master-Servant Relationship, Concubine, Buddhism",Ruyi's Royal Love in the Palace,666,2573
Bona,Chae Seo Jin,South Korea,"Sep 11, 2017 - Oct  3, 2017",8,"Friendship,  Romance,  School,  Youth,  Drama",KBS2,8.2,14,"1970s, Sismance, Adolescence, Coming Of Age, High School, Student, Abusive Parents, Idol Actor, Bright Personality, Love Pentagon",Girls' Generation 1979,2284,5503
Tavia Yeung,Kenneth Ma,Hong Kong,"Feb 13, 2012 - Mar 16, 2012",25,"Romance,  Medical",TVB Jade ,8.3,1,,The Hippocratic Crush,570,1161
Ok Taec Yeon,Kim So Hyun,South Korea,"Jul 11, 2016 - Aug 30, 2016",16,"Action,  Horror,  Comedy,  Romance,  Drama,  Supernatural",tvN,8.2,48,"Ghost, Adapted From A Webtoon, Interspecies Romance, Ghost-seeing Male Lead, College Life, Nice Male Lead, Serial Killer, Bromance, Badass Female Lead, Strong Male Lead","Bring It On, Ghost",17298,33363
Im Soo Hyang,Cha Eun Woo,South Korea,"Jul 27, 2018 - Sep 15, 2018",16,"Friendship,  Psychological,  Comedy,  Romance,  Life,  School,  Youth,  Drama,  Melodrama",jTBC,8.2,124,"Nice Female Lead, Beauty Standards, College Life, Male Chases Female First, Nice Male Lead, Plastic Surgery, School Bullying, Adapted From A Webtoon, Low Self-esteem Protagonist, Eating Disorder",My ID is Gangnam Beauty,22105,37411
Ueno Juri,Mizukawa Asami,Japan,"Jan  9, 2011 - Nov 27, 2011",46,Historical,NHK,8.5,6,"Taiga, Sengoku Period, Adapted From A Manga, Azuchi–Momoyama Period, Edo Period",Gou - Himetachi no Sengoku,213,912
Ayase Haruka,Hirosue Ryoko,Japan,"Oct  4, 2017 - Dec  6, 2017",10,"Action,  Comedy,  Drama,  Martial Arts,  Family",NTV,8.3,5,"Hidden Identity, Strong Female Lead, Sismance, Love At First Sight, Lovers To Enemies, Newlyweds, Marriage","Okusama wa, Tori Atsukai Chui",753,1702
Zanilia Zhao,Zhang Han,China,"Jul  8, 2014 - Jul 20, 2014",33,"Food,  Friendship,  Business,  Comedy,  Romance",BTV,8.2,87,"Boss/Employee Relationship, Rich Man/Poor Woman, Innocent Female Lead, Woman Loves Eating, Adapted From A Novel, Calm Male Lead, Office Romance, Rich Male Lead, Cheerful Girl, Naive Female Lead",Boss & Me,8326,17957
